name_part_type,year,exam_type,name_part,count,mean_total_score,median_total_score,p25_total_score,p75_total_score,max_total_score
given_name,2014,DH,Tiệp,323,13.0464,12.5,9.75,16.25,25.0
given_name,2014,DH,Toan,85,13.0971,12.5,8.5,17.0,22.25
given_name,2014,DH,Toàn,3739,13.4866,13.25,9.75,17.0,29.25
given_name,2014,DH,Toán,206,13.8362,13.75,10.25,16.75,27.75
given_name,2014,DH,Toại,142,12.9067,12.375,8.625,16.25,25.75
given_name,2014,DH,Toản,516,12.9482,12.75,9.4375,16.0,25.5
given_name,2014,DH,Trai,47,11.7979,11.75,8.625,14.5,23.0
given_name,2014,DH,Trang,24288,14.3626,14.25,11.0,17.5,27.5
given_name,2014,DH,Tranh,49,12.7194,12.75,8.5,16.25,23.75
given_name,2014,DH,Tri,89,12.4691,12.75,8.75,15.25,22.5
given_name,2014,DH,Trinh,7422,13.6832,13.5,10.25,16.75,26.75
given_name,2014,DH,Triết,238,14.9758,14.25,11.5,18.4375,27.0
given_name,2014,DH,Triều,712,13.2191,13.0,9.75,16.25,25.75
given_name,2014,DH,Triển,117,12.797,13.0,9.75,15.5,23.75
given_name,2014,DH,Triệu,331,12.8323,12.75,9.5,16.0,24.75
given_name,2014,DH,Trong,54,12.7176,11.25,9.75,16.375,20.25
given_name,2014,DH,Trung,5918,13.879,13.75,10.25,17.25,28.5
given_name,2014,DH,Truyền,318,12.5542,12.5,9.25,15.5,23.0
given_name,2014,DH,Trà,1251,14.3833,14.5,11.0,18.0,25.5
given_name,2014,DH,Tráng,103,14.1117,14.25,9.625,18.0,25.75
given_name,2014,DH,Trâm,5435,14.0164,14.0,10.75,17.25,27.0
given_name,2014,DH,Trân,2776,14.1747,14.0,11.0,17.25,27.5
given_name,2014,DH,Trãi,32,13.3516,13.625,8.3125,18.25,24.0
given_name,2014,DH,Trình,501,13.8877,13.75,10.5,17.0,27.0
given_name,2014,DH,Trí,2752,14.0279,13.75,10.75,17.25,28.0
given_name,2014,DH,Tròn,31,12.129,11.75,9.625,14.5,21.5
given_name,2014,DH,Tróc,292,14.3356,14.5,10.75,17.75,25.0
given_name,2014,DH,Trùc,88,12.2045,12.375,8.9375,14.75,22.0
given_name,2014,DH,Trúc,2407,14.0032,14.0,10.75,17.25,26.75
given_name,2014,DH,Trăm,83,12.1476,11.75,9.5,14.25,20.5
given_name,2014,DH,Trưng,41,13.6829,13.5,9.25,17.5,24.5
given_name,2014,DH,Trương,106,12.7311,13.0,9.875,15.75,22.75
given_name,2014,DH,Trường,3772,13.4235,13.0,9.75,16.75,27.75
given_name,2014,DH,Trưởng,279,13.25,13.0,9.5,16.5,25.75
given_name,2014,DH,Trạng,93,12.25,12.0,9.25,14.75,23.75
given_name,2014,DH,Trấn,32,13.6016,12.25,10.1875,17.875,25.5
given_name,2014,DH,Trầm,242,12.813,12.75,9.5625,15.5,27.25
given_name,2014,DH,Trị,80,13.0625,13.625,10.1875,15.25,23.5
given_name,2014,DH,Trịnh,104,12.6683,12.75,9.25,16.5,22.75
given_name,2014,DH,Trọng,1874,13.262,13.0,9.5,16.75,26.25
given_name,2014,DH,Trứ,33,11.6742,11.0,8.75,14.25,23.0
given_name,2014,DH,Trực,184,13.6848,13.25,10.25,17.5,24.75
given_name,2014,DH,Tuy,59,11.6695,10.25,8.5,14.75,20.25
given_name,2014,DH,Tuyên,937,13.5819,13.5,9.75,17.0,26.25
given_name,2014,DH,Tuyến,1321,13.552,13.5,10.5,16.5,26.5
given_name,2014,DH,Tuyết,2832,13.6988,13.75,10.25,16.75,26.75
given_name,2014,DH,Tuyền,3882,13.4357,13.25,10.25,16.5,27.5
given_name,2014,DH,Tuyển,284,13.0634,12.75,9.1875,16.8125,23.25
given_name,2014,DH,Tuân,878,13.0202,12.75,9.25,16.25,29.0
given_name,2014,DH,Tuấn,10991,13.5171,13.25,10.0,16.75,28.75
given_name,2014,DH,Tuất,50,11.435,10.75,8.125,14.25,22.0
given_name,2014,DH,Tuệ,240,14.6219,14.75,10.6875,18.0,27.75
given_name,2014,DH,Ty,151,12.6325,12.0,9.375,15.5,24.75
given_name,2014,DH,TÊn,118,13.625,13.5,10.5,16.5,23.25
given_name,2014,DH,TÝn,267,12.6863,12.75,9.5,16.0,23.75
given_name,2014,DH,TÝnh,125,12.938,12.25,9.5,15.75,25.75
given_name,2014,DH,Tài,3892,13.4723,13.25,10.0,16.75,27.75
given_name,2014,DH,Tá,54,13.8287,14.625,9.3125,17.4375,25.5
given_name,2014,DH,Tám,114,13.4825,14.25,9.125,17.25,24.5
given_name,2014,DH,Tánh,66,12.8333,12.125,8.75,15.875,25.0
given_name,2014,DH,Tâm,7084,13.7712,13.75,10.25,17.0,27.25
given_name,2014,DH,Tân,2696,13.5486,13.25,10.25,17.0,28.0
given_name,2014,DH,Tây,254,12.7195,12.75,9.5,15.75,24.5
given_name,2014,DH,Tèo,31,11.4274,11.5,10.125,13.0,17.0
given_name,2014,DH,Tình,1088,12.7139,12.5,9.25,15.75,26.0
given_name,2014,DH,Tím,59,13.3051,13.75,11.25,15.5,22.75
