year,province_code,province_name,region,subject,subject_label,count,mean,std,share_ge_8,share_ge_10,share_lt_5
2017,13,Yên Bái,Miền Bắc,HoaHoc,Hóa học,1977,4.3713,2.0361,0.0768841679312089,0.0025290844714213456,0.661608497723824
2017,13,Yên Bái,Miền Bắc,LichSu,Lịch sử,5875,4.5171,1.5535,0.0371063829787234,0.00034042553191489364,0.648
2017,13,Yên Bái,Miền Bắc,NgoaiNgu,Ngoại ngữ,5624,3.6761,1.4394,0.029516358463726886,0.00017780938833570413,0.8604196301564723
2017,13,Yên Bái,Miền Bắc,NguVan,Ngữ văn,6718,5.6197,1.4424,0.06430485263471271,0.0,0.2997916046442394
2017,13,Yên Bái,Miền Bắc,SinhHoc,Sinh học,1920,4.3646,1.4603,0.030208333333333334,0.0005208333333333333,0.709375
2017,13,Yên Bái,Miền Bắc,Toan,Toán,6751,3.973,1.7107,0.04162346319063842,0.0002962524070508073,0.7711450155532513
2017,13,Yên Bái,Miền Bắc,VatLy,Vật lí,1948,4.375,1.7955,0.04260780287474333,0.000513347022587269,0.6611909650924025
2017,14,Sơn La,Miền Bắc,DiaLy,Địa lí,8387,5.3772,1.6051,0.06808155478717062,0.0003576964349588649,0.39620841778943605
2017,14,Sơn La,Miền Bắc,GDCD,GDCD,7003,6.9178,1.3148,0.2521776381550764,0.0001427959445951735,0.07725260602598887
2017,14,Sơn La,Miền Bắc,HoaHoc,Hóa học,1806,4.0588,1.7774,0.042081949058693245,0.0005537098560354374,0.7403100775193798
2017,14,Sơn La,Miền Bắc,LichSu,Lịch sử,8615,4.1162,1.5406,0.02959953569355775,0.0005803830528148578,0.7453279164248404
2017,14,Sơn La,Miền Bắc,NgoaiNgu,Ngoại ngữ,7822,3.3175,1.2022,0.01150600869342879,0.0,0.9167732037841985
2017,14,Sơn La,Miền Bắc,NguVan,Ngữ văn,9423,4.9704,1.3807,0.024196115886660298,0.0,0.4764936856627401
2017,14,Sơn La,Miền Bắc,SinhHoc,Sinh học,1754,4.1565,1.4187,0.026225769669327253,0.0011402508551881414,0.7559863169897377
2017,14,Sơn La,Miền Bắc,Toan,Toán,9371,3.3051,1.4231,0.018141073524703875,0.0,0.8895528758937147
2017,14,Sơn La,Miền Bắc,VatLy,Vật lí,1773,3.9718,1.6237,0.026508742244782856,0.0,0.7586012408347433
2017,15,Phú Thọ,Miền Bắc,DiaLy,Địa lí,9069,6.5086,1.4435,0.17620465321424633,0.0018745175873855994,0.13430367184915648
2017,15,Phú Thọ,Miền Bắc,GDCD,GDCD,8072,7.989,0.9238,0.5939048562933598,0.000867195242814668,0.003964321110009911
2017,15,Phú Thọ,Miền Bắc,HoaHoc,Hóa học,3644,5.4313,2.1083,0.15806805708013172,0.005762897914379802,0.4415477497255763
2017,15,Phú Thọ,Miền Bắc,LichSu,Lịch sử,9251,4.8237,1.6111,0.05566965733434223,0.0,0.5711814938925521
2017,15,Phú Thọ,Miền Bắc,NgoaiNgu,Ngoại ngữ,10877,3.9824,1.6126,0.04247494713615887,0.0011032453801599707,0.7988415923508321
