year,segment,subject,subject_label,count,mean,share_ge_8,share_le_1
2020,round_2_da_nang,Toan,Toán,10832,7.0966,0.42374446085672085,9.231905465288036e-05
2020,round_2_da_nang,VatLy,Vật lí,4355,6.5611,0.2516647531572905,0.0004592422502870264
2021,main,DiaLy,Địa lí,628878,6.9554,0.22047042510630044,0.00018763575765092753
2021,main,GDCD,GDCD,532237,8.3742,0.7144974889006214,5.448700484934343e-05
2021,main,HoaHoc,Hóa học,346719,6.6304,0.24889608011098324,0.00016728243909332918
2021,main,LichSu,Lịch sử,634726,4.9717,0.07028702148643667,0.0008491853177591591
2021,main,NgoaiNgu,Ngoại ngữ,868289,5.8499,0.24225920171740054,0.00016699509034434387
2021,main,NguVan,Ngữ văn,974441,6.4703,0.1493625576099528,0.0001765114563118752
2021,main,SinhHoc,Sinh học,341289,5.5156,0.06520866479728324,0.0002197551049110871
2021,main,Toan,Toán,977364,6.6137,0.2586917463708506,0.00012175607040979615
2021,main,VatLy,Vật lí,345084,6.5664,0.18324523884039828,7.244612905843214e-05
2021,round_2,DiaLy,Địa lí,7677,7.0454,0.24071903087143415,0.00039077764751856197
2021,round_2,GDCD,GDCD,6508,8.4785,0.7690534726490473,0.0
2021,round_2,HoaHoc,Hóa học,4274,6.8374,0.20074871314927467,0.0
2021,round_2,LichSu,Lịch sử,7728,5.4062,0.1265527950310559,0.0006469979296066253
2021,round_2,NgoaiNgu,Ngoại ngữ,10746,5.9477,0.19663130467150566,9.305788200260562e-05
2021,round_2,NguVan,Ngữ văn,11949,6.8273,0.2191815214662315,8.368901163277262e-05
2021,round_2,SinhHoc,Sinh học,4226,5.8398,0.08755324183625178,0.000236630383341221
2021,round_2,Toan,Toán,11980,6.9323,0.33347245409015025,8.347245409015025e-05
2021,round_2,VatLy,Vật lí,4260,7.0987,0.31502347417840376,0.0
2022,main,DiaLy,Địa lí,657421,6.6779,0.1672687668936648,5.780162179181985e-05
2022,main,GDCD,GDCD,554343,8.0333,0.6185015414644002,5.051024365780753e-05
2022,main,HoaHoc,Hóa học,327367,6.7039,0.27872693338057897,0.00012218702557068977
2022,main,LichSu,Lịch sử,659662,6.3439,0.18130648726165824,0.00012127422831692594
2022,main,NgoaiNgu,Ngoại ngữ,870609,5.1577,0.1209004271722438,0.000480123683536467
2022,main,NguVan,Ngữ văn,981407,6.5077,0.16972367223791965,0.00019767537830889733
2022,main,SinhHoc,Sinh học,322198,5.0191,0.045900346991601434,0.0002855387060130727
2022,main,Toan,Toán,982726,6.4663,0.21849121728742293,0.0001668827323180622
2022,main,VatLy,Vật lí,325523,6.7238,0.2274647259947838,6.75835501638901e-05
2023,main,DiaLy,Địa lí,682134,6.1475,0.06641217121562626,0.00016419061357445897
2023,main,GDCD,GDCD,565452,8.2858,0.6895474770625977,4.598091438353742e-05
2023,main,HoaHoc,Hóa học,328118,6.7446,0.22669893148196685,4.266757690830738e-05
2023,main,LichSu,Lịch sử,683447,6.0256,0.13070655076399487,5.560050742778884e-05
2023,main,NgoaiNgu,Ngoại ngữ,880997,5.4624,0.151843876880398,0.0002179349078373706
2023,main,NguVan,Ngữ văn,1008239,6.8582,0.24422185612736663,9.12482060305146e-05
2023,main,SinhHoc,Sinh học,324625,6.3949,0.10570350404312669,0.00011089718906430496
2023,main,Toan,Toán,1003373,6.2506,0.15164649636775157,0.00012258651568260257
2023,main,VatLy,Vật lí,327189,6.5739,0.21317036941950981,7.029576177683235e-05
2024,main,DiaLy,Địa lí,704682,7.1935,0.3100902250944398,0.00010926914551528208
2024,main,GDCD,GDCD,583609,8.1565,0.6583551658730417,4.112342338791897e-05
2024,main,HoaHoc,Hóa học,346518,6.6808,0.2693453153948713,4.9059500516567685e-05
2024,main,LichSu,Lịch sử,706214,6.5703,0.19616291945500938,2.8320027640346978e-05
2024,main,NgoaiNgu,Ngoại ngữ,912705,5.5219,0.14624988358779673,0.00014681633167343226
2024,main,NguVan,Ngữ văn,1050101,7.2311,0.35985014774769286,5.6185071721672484e-05
2024,main,SinhHoc,Sinh học,342378,6.2841,0.10058473383219717,0.00014311667221608866
2024,main,Toan,Toán,1045613,6.4473,0.18973750326363578,5.929536071185037e-05
2024,main,VatLy,Vật lí,345615,6.6669,0.2724013714682523,0.00014177625392416417
2025,gdpt_2006,DiaLy,Địa lí,13109,7.1905,0.39484323747044014,0.0009916851018384315
2025,gdpt_2006,GDCD,GDCD,4099,7.6978,0.523298365454989,0.0034154671871188093
