year,subject,subject_label,count,mean,std,min,p05,p25,median,p75,p95,max,p90,share_ge_8,share_ge_9,share_ge_10,count_10,share_lt_5,share_le_1,skew,excess_kurtosis,normality_distance
2018,LichSu,Lịch sử,565683,3.7879,1.2436,0.0,2.0,3.0,3.5,4.5,6.0,10.0,5.5,0.007527183952849918,0.0011543567687202904,1.414219624772178e-05,8,0.8325051309655761,0.002273358046821276,0.8751,1.3044,2.179477206705171
2018,NgoaiNgu,Ngoại ngữ,816588,3.9079,1.5775,0.0,2.0,2.8,3.6,4.6,7.2,10.0,6.2,0.027325897515025937,0.006249173389763259,0.00012001156029723679,98,0.784244931348489,0.0026757679515251264,1.0705,0.9339,2.0044557573552506
2018,NguVan,Ngữ văn,901410,5.4489,1.4744,0.0,3.0,4.5,5.5,6.5,7.75,9.75,7.25,0.04321451947504465,0.0025704174570949957,0.0,0,0.32323138194606227,0.0008686391320264918,-0.231,-0.2897,0.5206271228279197
2018,SinhHoc,Sinh học,383390,4.5433,1.2481,0.0,2.75,3.75,4.5,5.25,6.75,10.0,6.25,0.009648138970760844,0.0007251102011007069,5.216620151803646e-06,2,0.6335037429249589,0.0011893893946112314,0.3814,0.2875,0.6688491065990794
2018,Toan,Toán,917080,4.8531,1.469,0.0,2.4,3.8,5.0,6.0,7.2,10.0,6.8,0.012075282418109652,0.0004885070004797836,2.180834823570463e-06,2,0.49705805382300344,0.0017043224146203167,-0.0763,-0.5058,0.5821876866413802
2018,VatLy,Vật lí,386796,4.9691,1.5564,0.0,2.5,3.75,5.0,6.0,7.5,10.0,7.0,0.02850598248172163,0.0013159391513872945,5.170684288358721e-06,2,0.4840070734961065,0.0016158388401121004,0.0489,-0.556,0.6048285332682948
2019,DiaLy,Địa lí,562749,5.9962,1.2257,0.0,4.0,5.25,6.0,6.75,8.0,10.0,7.5,0.05546877915376127,0.006606853144119314,7.463362884696375e-05,42,0.17225796936111837,0.0004922265521573561,-0.2444,0.3308,0.5752489088873187
2019,GDCD,GDCD,494153,7.3718,1.2644,0.0,5.0,6.5,7.5,8.25,9.25,10.0,9.0,0.3841158507587731,0.10079469314159785,0.001586553152566108,784,0.039801438016160984,0.00022665045036658686,-0.694,0.6344,1.328375764271065
2019,HoaHoc,Hóa học,338767,5.354,1.5681,0.0,2.75,4.25,5.5,6.5,7.75,10.0,7.25,0.03896778611848262,0.0034389418095623243,3.542257657918274e-05,12,0.3772238736358618,0.0007202590571100491,-0.1812,-0.5979,0.7790297477401963
2019,LichSu,Lịch sử,570033,4.3017,1.4364,0.0,2.25,3.25,4.0,5.0,7.0,10.0,6.25,0.021879435050251476,0.005329516010476586,0.00014034275208628272,80,0.700226127259299,0.0009841535490050575,0.7388,0.5873,1.32608432568043
2019,NgoaiNgu,Ngoại ngữ,791935,4.3632,1.8113,0.0,2.2,3.0,4.0,5.4,8.2,10.0,7.2,0.06040394729365415,0.019650602637842754,0.00039523445737339556,313,0.6863353684330153,0.0009432592321339504,0.8666,0.1232,0.9897646741976658
